id,a0,a1,a2,a3,a4
cero, 4.8,293.595,0.00138916,0,0,0
cero, 4.8,23.9144,0.00122144,0,0,0
cero, 4.8,14.1229,0.00162848,0,0,0
cero, 4.8,146.744,0.00173918,0,0,0
cero, 4.8,86.2392,0.00158529,0,0,0
cero, 4.8,213.333,0.00130386,0,0,0
cero, 4.8,257.019,0.00303479,0,0,0
cero, 4.8,60.6004,0.00118399,0,0,0
cero, 4.8,246.868,0.00147899,0,0,0
cero, 4.8,17.0119,0.00112509,0,0,0
cero, 4.8,208.255,0.00105913,0,0,0
cero, 4.8,346.334,0.0018676,0,0,0
cero, 4.8,29.8302,0.00139805,0,0,0
cero, 5.70819,167.145,0.00105614,0,1,0
cero, 5.70819,28.1027,0.0010017,0,1,0
cero, 5.70819,123.525,0.00157863,0,1,0
cero, 5.70819,9.50689,0.00114918,0,1,0
cero, 5.70819,110.626,0.0012921,0,1,0
cero, 8.07261,149.652,0.00129957,0,3,0
cero, 8.07261,204.178,0.00107051,0,3,0
cero, 8.07261,163.981,0.00121316,0,3,0
cero, 8.07261,128.739,0.00262165,0,3,0
cero, 8.07261,352.281,0.00153841,0,3,0
cero, 8.07261,232.506,0.00148508,0,3,0
cero, 8.07261,109.61,0.00148811,0,3,0
cero, 8.07261,110.168,0.00169139,0,3,0
cero, 8.07261,176.454,0.00163477,0,3,0
cero, 8.07261,118.397,0.00107635,0,3,0
cero, 8.07261,97.2939,0.00112696,0,3,0
cero, 11.4164,168.487,0.00104069,1,5,0
cero, 11.4164,193.696,0.0017023,1,5,0
cero, 11.4164,103.684,0.00168207,1,5,0
cero, 11.4164,110.386,0.00140258,1,5,0
cero, 11.4164,332.642,0.00323594,1,5,0
cero, 16.1452,185.46,0.00104505,1,7,0
cero, 16.1452,196.809,0.00107728,1,7,0
cero, 16.1452,294.272,0.0011684,1,7,0
cero, 16.1452,88.269,0.00241815,1,7,0
cero, 16.1452,107.972,0.00492658,1,7,0
cero, 22.8328,177.29,0.00101233,2,9,0
cero, 22.8328,92.4304,0.00202479,2,9,0
cero, 32.2904,94.4698,0.00231261,2,11,0
cero, 45.6656,84.5834,0.00186725,3,13,0
uno, 4.8,264.297,0.00241114,0,0,1
uno, 4.8,56.5799,0.00156469,0,0,1
uno, 4.8,310.938,0.00106428,0,0,1
uno, 4.8,316.133,0.00262749,0,0,1
uno, 4.8,77.4564,0.0022777,0,0,1
uno, 4.8,59.5268,0.00113298,0,0,1
uno, 4.8,110.819,0.00101335,0,0,1
uno, 4.8,75.3722,0.00271911,0,0,1
uno, 4.8,189.482,0.00251362,0,0,1
uno, 4.8,177.872,0.00317866,0,0,1
uno, 4.8,349.22,0.00143642,0,0,1
uno, 4.8,106.188,0.0018858,0,0,1
uno, 4.8,219.536,0.00104901,0,0,1
uno, 4.8,128.766,0.00101218,0,0,1
uno, 4.8,16.5701,0.00120098,0,0,1
uno, 4.8,157.619,0.00129545,0,0,1
uno, 4.8,7.91537,0.00135121,0,0,1
uno, 4.8,161.994,0.00140822,0,0,1
uno, 4.8,313.137,0.001519,0,0,1
uno, 4.8,341.664,0.00236145,0,0,1
uno, 4.8,324.728,0.00134967,0,0,1
uno, 4.8,194.266,0.00112272,0,0,1
uno, 4.8,4.76052,0.00107302,0,0,1
uno, 4.8,152.337,0.00290129,0,0,1
uno, 4.8,68.983,0.00385555,0,0,1
uno, 4.8,60.779,0.00458786,0,0,1
uno, 4.8,208.739,0.00106789,0,0,1
uno, 4.8,236.638,0.00179525,0,0,1
uno, 4.8,53.4009,0.00203652,0,0,1
uno, 4.8,237.536,0.00215137,0,0,1
uno, 4.8,133.676,0.00113136,0,0,1
uno, 5.70819,313.186,0.00104,0,1,1
uno, 5.70819,258.427,0.00101107,0,1,1
uno, 5.70819,336.203,0.00163354,0,1,1
uno, 5.70819,208.871,0.00110327,0,1,1
uno, 5.70819,304.99,0.001299,0,1,1
uno, 5.70819,103.938,0.00151493,0,1,1
uno, 5.70819,83.185,0.00527774,0,1,1
uno, 5.70819,180.426,0.00147752,0,1,1
uno, 5.70819,135.629,0.00114552,0,1,1
uno, 5.70819,239.056,0.00100485,0,1,1
uno, 5.70819,196.524,0.00102517,0,1,1
uno, 5.70819,152.27,0.00126051,0,1,1
uno, 5.70819,251.614,0.00128479,0,1,1
uno, 5.70819,180.292,0.00104125,0,1,1
uno, 5.70819,206.846,0.00106775,0,1,1
uno, 5.70819,47.7559,0.00110222,0,1,1
uno, 5.70819,135.524,0.00107026,0,1,1
uno, 5.70819,23.2557,0.00117274,0,1,1
uno, 5.70819,51.4678,0.00185023,0,1,1
uno, 5.70819,140.614,0.0015487,0,1,1
uno, 5.70819,95.4732,0.00112326,0,1,1
uno, 5.70819,22.4276,0.0012486,0,1,1
uno, 5.70819,16.8506,0.00138228,0,1,1
uno, 5.70819,44.9711,0.00104576,0,1,1
uno, 5.70819,221.717,0.00128162,0,1,1
uno, 5.70819,304.242,0.00567313,0,1,1
uno, 5.70819,141.34,0.00741335,0,1,1
uno, 5.70819,148.714,0.00108117,0,1,1
uno, 5.70819,195.76,0.00228291,0,1,1
uno, 5.70819,307.822,0.00164756,0,1,1
uno, 5.70819,197.828,0.00262338,0,1,1
uno, 5.70819,62.0624,0.00170238,0,1,1
uno, 5.70819,81.4199,0.00274139,0,1,1
uno, 5.70819,92.4962,0.00110741,0,1,1
uno, 5.70819,5.06011,0.00120987,0,1,1
uno, 5.70819,193.417,0.00100466,0,1,1
uno, 5.70819,154.343,0.00137895,0,1,1
uno, 5.70819,217.023,0.00127032,0,1,1
uno, 5.70819,208.329,0.00170285,0,1,1
uno, 5.70819,280.065,0.00101396,0,1,1
uno, 5.70819,303.406,0.00103955,0,1,1
uno, 5.70819,267.174,0.00100842,0,1,1
uno, 5.70819,33.2795,0.00122855,0,1,1
uno, 5.70819,47.0438,0.00148447,0,1,1
uno, 5.70819,44.7478,0.00128748,0,1,1
uno, 5.70819,249.226,0.00220082,0,1,1
uno, 5.70819,83.2252,0.00205634,0,1,1
uno, 5.70819,285.228,0.00152842,0,1,1
uno, 5.70819,178.014,0.00438616,0,1,1
uno, 5.70819,116.384,0.0010522,0,1,1
uno, 5.70819,39.9279,0.00100073,0,1,1
uno, 5.70819,149.44,0.00104969,0,1,1
uno, 5.70819,102.696,0.00102391,0,1,1
uno, 5.70819,37.3471,0.00109639,0,1,1
uno, 5.70819,167.257,0.00108903,0,1,1
uno, 5.70819,47.3311,0.00104166,0,1,1
uno, 8.07261,307.204,0.00168286,0,3,1
uno, 8.07261,50.8368,0.00109513,0,3,1
uno, 8.07261,256.242,0.00111413,0,3,1
uno, 8.07261,12.3201,0.00109206,0,3,1
uno, 8.07261,281.35,0.00124802,0,3,1
uno, 8.07261,202.725,0.00165433,0,3,1
uno, 8.07261,95.5545,0.00735195,0,3,1
uno, 8.07261,180.287,0.0015007,0,3,1
uno, 8.07261,235.938,0.00100357,0,3,1
uno, 8.07261,47.4093,0.0011458,0,3,1
uno, 8.07261,349.698,0.00156201,0,3,1
uno, 8.07261,152.528,0.00103747,0,3,1
uno, 8.07261,27.6572,0.00145492,0,3,1
uno, 8.07261,0.226862,0.00108444,0,3,1
uno, 8.07261,63.223,0.00112996,0,3,1
uno, 8.07261,163.379,0.00133921,0,3,1
uno, 8.07261,240.507,0.00154508,0,3,1
uno, 8.07261,184.099,0.00148074,0,3,1
uno, 8.07261,211.475,0.00124585,0,3,1
