id,a0,a1,a2,a3,a4,
cero,10.8462,105.205,31.7212,0,-1,0
cero,12.1304,163.351,38.0109,0,-1,0
cero,12.5625,320.067,34.1406,0,-1,0
cero,10.3846,218.984,31.4135,0,-1,0
cero,11.6897,286.076,32.0388,0,-1,0
cero,11.7907,206.29,34.0262,0,-1,0
cero,12.2222,172.179,52.037,0,-1,0
cero,9.59179,163.267,38.9107,0,-1,0
cero,11.55,199.51,30.1125,0,-1,0
cero,10.2558,170.157,37.8169,0,-1,0
cero,11.5415,301.412,31.1633,0,-1,0
cero,11.7097,182.218,40.0363,0,-1,0
cero,11.6667,167.055,39.0694,0,-1,0
cero,13.2353,182.81,54.0809,0,-1,0
cero,13.1178,237.539,33.774,0,-1,0
cero,13.5,295.992,38.25,0,-1,0
cero,14.7391,307.683,32.3967,0,-1,0
cero,14.6906,319.308,46.7667,0,-1,0
cero,13.5219,255.56,57.1771,0,-1,0
cero,14.2941,105.132,31.2426,0,-1,0
cero,11.4878,241.558,31.1494,0,-1,0
cero,13.0645,89.3605,38.4879,0,-1,0
cero,14.9638,334.403,48.0735,0,-1,0
cero,14.0323,154.089,36.7782,0,-1,0
cero,13.5652,232.816,45.5652,0,-1,0
cero,12.9443,320.298,40.358,0,-1,0
cero,13.8571,42.2316,33.006,0,-1,0
cero,11.5846,289.112,56.1558,0,-1,0
cero,14.7857,344.463,47.0179,0,-1,0
cero,11.3478,286.903,37.2717,0,-1,0
cero,15,193.505,41.125,0,-1,0
cero,14.9599,250.298,43.7729,0,-1,0
cero,12.7778,295.034,34.2269,0,-1,0
cero,13.6667,155.639,53.3889,0,-1,0
cero,13.1818,348.732,30.6402,0,-1,0
cero,12.3562,38.0865,45.3547,0,-1,0
cero,14.076,143.176,46.1077,0,-1,0
cero,12.375,193.808,30.0625,0,-1,0
cero,12.9561,40.2691,31.3851,0,-1,0
cero,13.1739,141.059,33.4402,0,-1,0
cero,11.0455,191.923,34.5568,0,-1,0
cero,11.7866,288.164,31.0204,0,-1,0
cero,13.5714,303.561,31.7202,0,-1,0
cero,12.6,11.7643,30.175,0,-1,0
cero,12.3333,345.507,48.0694,0,-1,0
cero,12.9375,293.23,35.3906,0,-1,0
cero,15,168.388,44.625,0,-1,0
cero,13.1101,102.99,35.8721,0,-1,0
cero,14.6,38.0497,42.8167,0,-1,0
cero,14.7391,320.869,53.7935,0,-1,0
cero,12.6893,185.719,43.7544,0,-1,0
cero,12.6,207.945,39.175,0,-1,0
cero,14.6129,222.854,53.9395,0,-1,0
cero,13.3333,178.47,32.4444,0,-1,0
cero,13.7955,86.0027,67.5381,0,-1,0
cero,12.8182,254.82,30.3068,0,-1,0
cero,12.1154,169.156,35.0096,0,-1,0
cero,15.0318,20.9041,33.2868,0,-1,0
cero,13.32,49.7986,51.21,0,-1,0
cero,13.4516,74.432,34.9073,0,-1,0
cero,12.2542,122.858,44.053,0,-1,0
cero,13.1667,332.188,36.6806,0,-1,0
cero,14.3712,173.852,41.7845,0,-1,0
cero,16,174.507,44,0,-1,0
cero,12.913,269.306,41.5326,0,-1,0
cero,14.1818,83.2168,32.4546,0,-1,0
cero,12.75,292.869,30.25,0,-1,0
cero,12.3333,171.708,31.0694,0,-1,0
cero,14.887,91.7771,37.3567,0,-1,0
cero,12.5,328.523,32.125,0,-1,0
cero,13.8293,292.176,42.9055,0,-1,0
cero,11.4255,358.174,37.2154,0,-1,0
cero,12.9076,171.078,35.334,0,-1,0
cero,15,168.078,46.5,0,-1,0
cero,15.0216,173.531,55.5486,0,-1,0
cero,11.1429,184.045,43.4286,0,-1,0
cero,15,280.83,34.625,0,-1,0
cero,15.1463,158.5,47.6372,0,-1,0
cero,11.9302,169.426,30.0029,0,-1,0
cero,12.6923,182.683,39.2596,0,-1,0
cero,13.0645,111.021,40.4879,0,-1,0
cero,14.0581,321.163,42.6065,0,-1,0
cero,14.25,164.356,67.8125,0,-1,0
cero,13.3077,169.484,30.9263,0,-1,0
cero,15.7022,209.299,35.1884,0,-1,0
cero,12.5294,180.406,68.1985,0,-1,0
cero,12.2195,171.289,32.0274,0,-1,0
cero,12.4286,180.216,32.0893,0,-1,0
cero,11.4615,161.931,32.1571,0,-1,0
cero,11.9912,110.027,40,0,-1,0
cero,12.0769,106.318,37.0032,0,-1,0
cero,14.6038,294.223,32.5205,0,-1,0
cero,12.1765,57.0422,53.022,0,-1,0
cero,16.3103,228.55,38.3754,0,-1,0
cero,14.2258,97.7816,44.1331,0,-1,0
cero,14.2941,97.6362,36.2426,0,-1,0
cero,15.2857,183.812,41.1488,0,-1,0
cero,13.45,239.954,37.4933,0,-1,0
cero,12.9722,87.3255,41.0017,0,-1,0
cero,14.5385,156.392,35.3269,0,-1,0
cero,13.1598,86.9842,43.3088,0,-1,0
cero,14.2859,154.345,36.7834,0,-1,0
cero,13.875,191.053,35.5625,0,-1,0
cero,15,142.772,37.75,0,-1,0
cero,12.8934,96.3104,40.8101,0,-1,0
cero,13.05,233.49,49.6125,0,-1,0
cero,12.6923,180.36,30.2596,0,-1,0
cero,15.4134,332.853,43.0875,0,-1,0
cero,13.5116,94.2168,34.0129,0,-1,0
