id,a0,a1,a2,a3,a4,a5
cero,4.8,22.1003,0.0016274,0,0,0
cero,4.8,145.59,0.0010531,0,0,0
cero,4.8,151.336,0.00161228,0,0,0
cero,4.8,349.874,0.00100407,0,0,0
cero,4.8,217.873,0.00143199,0,0,0
cero,4.8,19.6235,0.00133263,0,0,0
cero,4.8,27.6395,0.00101792,0,0,0
cero,4.8,212.121,0.00172402,0,0,0
cero,4.8,335.712,0.00111262,0,0,0
cero,4.8,218.553,0.00100418,0,0,0
cero,4.8,328.029,0.0016393,0,0,0
cero,4.8,340.745,0.00118683,0,0,0
cero,4.8,342.274,0.00151501,0,0,0
cero,4.8,57.9487,0.00152284,0,0,0
cero,4.8,255.173,0.00106156,0,0,0
cero,4.8,263.888,0.00111999,0,0,0
cero,4.8,225.467,0.00135743,0,0,0
cero,4.8,88.1357,0.00145231,0,0,0
cero,4.8,143.638,0.00125342,0,0,0
cero,4.8,41.8046,0.00203237,0,0,0
cero,4.8,209.876,0.00115357,0,0,0
cero,4.8,170.113,0.00154503,0,0,0
cero,4.8,264.6,0.00174013,0,0,0
cero,4.8,278.523,0.00142456,0,0,0
cero,4.8,352.391,0.00112492,0,0,0
cero,4.8,57.7452,0.00134654,0,0,0
cero,4.8,141.501,0.00116642,0,0,0
cero,4.8,116.192,0.00118911,0,0,0
cero,4.8,157.558,0.00122839,0,0,0
cero,4.8,205.615,0.00109402,0,0,0
cero,4.8,165.657,0.00108039,0,0,0
cero,4.8,24.5833,0.00278741,0,0,0
cero,4.8,246.572,0.00157299,0,0,0
cero,4.8,313.766,0.00187814,0,0,0
cero,4.8,336.267,0.00135414,0,0,0
cero,4.8,21.3463,0.0038401,0,0,0
cero,4.8,151.659,0.00116902,0,0,0
cero,4.8,196.551,0.00107477,0,0,0
cero,4.8,41.6939,0.00116799,0,0,0
cero,4.8,65.3242,0.00101223,0,0,0
cero,4.8,279.571,0.00125218,0,0,0
cero,4.8,217.567,0.00151607,0,0,0
cero,4.8,111,0.00120576,0,0,0
cero,4.8,15.9476,0.00212406,0,0,0
cero,4.8,148.259,0.00109689,0,0,0
cero,4.8,190.008,0.00114884,0,0,0
cero,4.8,74.4713,0.00156142,0,0,0
cero,4.8,129.331,0.00105364,0,0,0
cero,4.8,245.161,0.00101519,0,0,0
cero,4.8,355.224,0.00104658,0,0,0
cero,4.8,130.811,0.0011691,0,0,0
cero,4.8,216.729,0.00125356,0,0,0
cero,4.8,43.6701,0.00103083,0,0,0
cero,4.8,48.3369,0.00163906,0,0,0
cero,4.8,313.937,0.00126238,0,0,0
cero,4.8,259.908,0.00109247,0,0,0
cero,4.8,50.9475,0.00163125,0,0,0
cero,4.8,215.036,0.00140289,0,0,0
cero,4.8,315.12,0.00125099,0,0,0
cero,4.8,314.845,0.00103368,0,0,0
cero,4.8,141.198,0.00129465,0,0,0
cero,4.8,310.648,0.00287764,0,0,0
cero,4.8,102.477,0.00103372,0,0,0
cero,4.8,266.851,0.00275822,0,0,0
cero,4.8,118.226,0.00105596,0,0,0
cero,4.8,287.485,0.00124873,0,0,0
cero,4.8,170.723,0.00128938,0,0,0
cero,4.8,314.219,0.00100942,0,0,0
cero,4.8,96.879,0.0013833,0,0,0
cero,4.8,311.294,0.00253638,0,0,0
cero,4.8,128.491,0.00139943,0,0,0
cero,4.8,211.884,0.0013083,0,0,0
cero,4.8,49.3579,0.00108263,0,0,0
cero,4.8,176.753,0.00134318,0,0,0
cero,4.8,82.9771,0.00263564,0,0,0
cero,4.8,332.919,0.00112451,0,0,0
cero,4.8,211.695,0.00119981,0,0,0
cero,4.8,300.648,0.00100524,0,0,0
cero,4.8,296.326,0.00110197,0,0,0
cero,4.8,359.389,0.00104443,0,0,0
cero,4.8,321.82,0.00157118,0,0,0
cero,4.8,324.209,0.00109037,0,0,0
cero,4.8,306.668,0.00252048,0,0,0
cero,4.8,355.122,0.001728,0,0,0
cero,4.8,156.781,0.00134847,0,0,0
cero,4.8,65.4178,0.00263353,0,0,0
cero,4.8,316.206,0.00125448,0,0,0
cero,4.8,305.071,0.00124841,0,0,0
cero,4.8,249.545,0.00120844,0,0,0
cero,4.8,319.216,0.00140024,0,0,0
cero,4.8,111.379,0.00126076,0,0,0
cero,4.8,43.4128,0.00106984,0,0,0
cero,4.8,102.414,0.0016032,0,0,0
cero,4.8,74.2704,0.00209612,0,0,0
cero,4.8,326.051,0.00164279,0,0,0
cero,4.8,329.161,0.00113853,0,0,0
cero,4.8,351.862,0.00248735,0,0,0
cero,4.8,82.3181,0.00180407,0,0,0
cero,4.8,151.086,0.00553115,0,0,0
cero,4.8,31.2155,0.00126007,0,0,0
cero,4.8,93.6878,0.00145237,0,0,0
cero,4.8,176.697,0.00106241,0,0,0
cero,4.8,15.8351,0.00158223,0,0,0
cero,4.8,5.47165,0.00130764,0,0,0
cero,4.8,113.835,0.00176893,0,0,0
cero,4.8,121.25,0.00153816,0,0,0
cero,4.8,23.3164,0.00128183,0,0,0
cero,4.8,122.819,0.00139998,0,0,0
cero,4.8,153.79,0.00102396,0,0,0
cero,4.8,16.1579,0.00103816,0,0,0
cero,4.8,132.909,0.00150252,0,0,0
cero,4.8,122.745,0.00185539,0,0,0
cero,4.8,349.111,0.00120048,0,0,0
cero,4.8,105.379,0.00113234,0,0,0
cero,4.8,335.036,0.00104465,0,0,0
cero,4.8,19.701,0.00140781,0,0,0
cero,4.8,204.166,0.00113842,0,0,0
cero,4.8,128.171,0.00161369,0,0,0
cero,4.8,323.88,0.00111573,0,0,0
cero,4.8,259.753,0.00143827,0,0,0
cero,4.8,316.751,0.00104974,0,0,0
cero,4.8,315.965,0.00120007,0,0,0
cero,4.8,191.508,0.00117077,0,0,0
cero,4.8,118.819,0.00131009,0,0,0
cero,4.8,293.548,0.00101147,0,0,0
cero,4.8,178.446,0.00118858,0,0,0
cero,4.8,320.23,0.00196374,0,0,0
cero,4.8,70.202,0.00207611,0,0,0
cero,4.8,316.797,0.00104631,0,0,0
cero,4.8,333.5,0.00105058,0,0,0
cero,4.8,320.553,0.00189559,0,0,0
cero,4.8,177.678,0.00191354,0,0,0
cero,4.8,190.263,0.00143206,0,0,0
cero,4.8,224.806,0.00103022,0,0,0
