id,a0,a1,a2,a3,a4,a5
cero,11.087,221.812,33.2663,0,-1,0
cero,13.1734,34.6223,38.0993,0,-1,0
cero,13.0714,292.677,30.4464,0,-1,0
cero,12.5294,50.2205,30.0662,0,-1,0
cero,12.021,111.048,35.0002,0,-1,0
cero,13.4745,73.8181,32.2594,0,-1,0
cero,12.6081,171.696,35.9204,0,-1,0
cero,13.8462,74.6242,36.2308,0,-1,0
cero,12.6,325.508,30.15,0,-1,0
cero,12.75,215.403,41.3125,0,-1,0
cero,12.5371,170.035,31.102,0,-1,0
cero,12.1029,221.767,30.0814,0,-1,0
cero,16.1473,6.752,47.1381,0,-1,0
cero,12.6364,325.222,32.1856,0,-1,0
cero,14.9013,331.906,32.6201,0,-1,0
cero,13,351.057,43.5,0,-1,0
cero,12.4286,24.2654,30.0893,0,-1,0
cero,13.5919,295.033,51.2807,0,-1,0
cero,9.94737,180.153,31.1118,0,-1,0
cero,13.5652,199.519,54.5652,0,-1,0
cero,13.2857,319.936,35.6429,0,-1,0
cero,13,322.119,59.7083,0,-1,0
cero,12.2727,340.93,33.0455,0,-1,0
cero,12.7021,303.682,42.3218,0,-1,0
cero,15.5714,325.812,34.7202,0,-1,0
cero,12.6,25.4969,31.125,0,-1,0
cero,12.6923,60.8142,43.2596,0,-1,0
cero,14.6365,258.343,42.9803,0,-1,0
cero,13.3899,329.545,35.4682,0,-1,0
cero,12.3999,31.0891,32.3363,0,-1,0
cero,13.5882,86.2886,36.1912,0,-1,0
cero,14.4134,350.643,39.8569,0,-1,0
cero,12.9919,39.6923,38.5135,0,-1,0
cero,12.6667,138.963,34.2222,0,-1,0
cero,15.7059,188.085,36.2427,0,-1,0
cero,13.3321,188.174,32.9047,0,-1,0
cero,13.7089,9.62138,52.4279,0,-1,0
cero,13.7867,113.007,37.4514,0,-1,0
cero,13.6154,324.635,44.4135,0,-1,0
cero,14.25,330.189,32.125,0,-1,0
cero,11.7692,0.934896,34.0288,0,-1,0
cero,12.25,166.847,39.0417,0,-1,0
cero,12.6745,350.165,43.2373,0,-1,0
cero,14.52,302.689,35.205,0,-1,0
cero,12.7895,56.0905,44.4934,0,-1,0
cero,14.1818,107.923,33.4546,0,-1,0
cero,14.1429,74.9717,33.7857,0,-1,0
cero,11.9492,345.558,38.0021,0,-1,0
cero,14.2009,187.18,38.6028,0,-1,0
cero,12.1364,55.3561,33.0114,0,-1,0
cero,12.3529,156.346,31.0588,0,-1,0
cero,14.526,316.541,47.972,0,-1,0
cero,13.9898,44.0229,32.3881,0,-1,0
cero,12.8824,134.478,33.3676,0,-1,0
cero,14.6129,359.209,46.9395,0,-1,0
cero,12.9375,81.0662,30.3906,0,-1,0
cero,14.1724,66.541,37.9009,0,-1,0
cero,14.0658,146.113,39.252,0,-1,0
cero,13.8889,279.897,39.338,0,-1,0
cero,12.7895,128.912,34.3289,0,-1,0
cero,12.0198,202.579,34.0002,0,-1,0
cero,14.3793,133.704,39.2802,0,-1,0
cero,12.7674,16.5845,54.3517,0,-1,0
cero,11.2941,5.3062,32.2353,0,-1,0
cero,13.8,306.78,31.9,0,-1,0
cero,13.3125,285.188,35.7656,0,-1,0
cero,15.4573,209.197,38.4734,0,-1,0
cero,12.4286,13.6977,40.0893,0,-1,0
cero,12.6,355.254,30.15,0,-1,0
cero,13.5,321.674,40.125,0,-1,0
cero,12.7041,110.464,35.6184,0,-1,0
cero,13.4385,5.82084,43.1655,0,-1,0
cero,11.9434,148.062,49.0024,0,-1,0
cero,14.1495,314.59,45.0469,0,-1,0
cero,14.6471,159.019,45.3088,0,-1,0
cero,14.1342,220.91,32.4046,0,-1,0
cero,13.9372,82.8579,42.5835,0,-1,0
cero,13.0065,336.719,39.3549,0,-1,0
cero,15,335.407,35.25,0,-1,0
cero,13,135.034,34.5417,0,-1,0
cero,13.3125,332.457,35.7656,0,-1,0
cero,14.0248,1.5137,36.7678,0,-1,0
cero,12.7143,352.498,31.1488,0,-1,0
cero,13.8311,356.521,34.1568,0,-1,0
cero,13.9655,321.407,32.556,0,-1,0
cero,15,165.022,34.125,0,-1,0
cero,13.3497,313.518,32.0144,0,-1,0
cero,12.7778,345.98,32.2269,0,-1,0
cero,13.6957,349.398,32.9185,0,-1,0
cero,14.0909,130.837,38.0038,0,-1,0
cero,13.1538,224.253,33.4808,0,-1,0
cero,11.2174,5.58474,34.3913,0,-1,0
cero,13.6286,248.654,43.2893,0,-1,0
cero,13.0541,72.7724,34.5709,0,-1,0
cero,13.1053,328.711,33.6447,0,-1,0
cero,12.6522,197.565,31.1359,0,-1,0
cero,13.56,214.556,32.845,0,-1,0
cero,14.5774,290.909,32.1836,0,-1,0
cero,13.8761,196.775,46.3096,0,-1,0
cero,15,203.852,37.375,0,-1,0
cero,14.4,116.904,46.4,0,-1,0
cero,12.3659,292.15,30.0762,0,-1,0
cero,14.8218,279.174,45.6472,0,-1,0
cero,14.1811,142.855,44.9653,0,-1,0
cero,13.6154,273.115,41.4135,0,-1,0
cero,13.3241,240.397,32.9438,0,-1,0
cero,15.3778,350.919,40.5536,0,-1,0
cero,15.9562,339.583,53.1251,0,-1,0
cero,14.0053,323.047,41.8746,0,-1,0
cero,11.4,296.096,30.225,0,-1,0
cero,12.1875,198.331,31.0156,0,-1,0
cero,15.184,334.676,33.7724,0,-1,0
cero,13.6875,144.021,32.2656,0,-1,0
cero,11.1667,301.934,34.3472,0,-1,0
cero,14.9915,131.759,34.2405,0,-1,0
cero,12.5294,135.488,34.1324,0,-1,0
cero,14.1429,205.251,32.3393,0,-1,0
cero,14.2174,194.369,31.5707,0,-1,0
cero,12.7103,7.96655,34.7732,0,-1,0
cero,15.1469,326.857,43.0276,0,-1,0
cero,13.0714,30.3304,31.4464,0,-1,0
cero,14.5,142.136,37.0833,0,-1,0
cero,13.56,65.1331,32.845,0,-1,0
cero,14,203.037,37.6667,0,-1,0
cero,13.2222,218.849,33.5602,0,-1,0
cero,12.2941,130.657,49.0613,0,-1,0
cero,14.7132,141.625,37.3622,0,-1,0
cero,13.9683,283.553,35.4945,0,-1,0
cero,12.2054,91.4973,30.6236,0,-1,0
cero,13.5546,332.587,41.9328,0,-1,0
cero,14.0341,222.312,45.7661,0,-1,0
cero,12.2432,156.655,31.0304,0,-1,0
cero,13.4615,111.77,44.157,0,-1,0
cero,14.2207,310.117,36.2041,0,-1,0
cero,14.1429,154.616,33.7857,0,-1,0
cero,13.32,12.2163,31.605,0,-1,0
cero,13.56,13.9602,34.845,0,-1,0
cero,14.28,149.256,35.805,0,-1,0
cero,12.7526,221.331,37.6379,0,-1,0
cero,14.4545,249.378,42.7614,0,-1,0
cero,13,340.509,31.375,0,-1,0
cero,11.2857,156.543,31.1488,0,-1,0
cero,14.5077,226.424,37.5474,0,-1,0
cero,14.095,302.12,34.7621,0,-1,0
cero,13.0976,272.676,46.686,0,-1,0
cero,12.375,176.305,33.0625,0,-1,0
cero,15,303.733,45.625,0,-1,0
cero,17.0151,141.287,40.7069,0,-1,0
cero,13.9254,283.419,46.2632,0,-1,0
cero,12.6364,291.183,34.1856,0,-1,0
cero,13.367,4.00855,35.8134,0,-1,0
cero,15,316.376,39.5,0,-1,0
cero,13,186.053,31.375,0,-1,0
cero,14.7391,22.453,33.3967,0,-1,0
cero,14.7143,323.945,35.1488,0,-1,0
cero,14.7342,345.866,33.5757,0,-1,0
cero,12.7297,355.704,43.2737,0,-1,0
cero,11.2286,314.642,32.2893,0,-1,0
cero,10.2632,1.18386,36.7961,0,-1,0
cero,12.1579,188.324,30.0066,0,-1,0
cero,13.4297,4.00787,30.7691,0,-1,0
cero,14.4545,75.3174,34.8409,0,-1,0
cero,12.8434,221.161,34.3084,0,-1,0
cero,14.9298,55.4937,35.7865,0,-1,0
cero,13.036,283.688,37.8844,0,-1,0
cero,13.2,250.373,34.6,0,-1,0
cero,12.3103,17.6349,30.0388,0,-1,0
