id,a0,a1,a2,a3,a4,a5
cero,31,82.67,0.000140299,0,-1,0
cero,31,271.395,0.000301948,0,-1,0
cero,31,257.459,0.000228144,0,-1,0
cero,31,136.983,0.000223914,0,-1,0
cero,31,335.667,0.00014015,0,-1,0
cero,31,186.341,0.00012076,0,-1,0
cero,31,240.255,0.000153053,0,-1,0
cero,31,144.568,0.000291074,0,-1,0
cero,31,75.3924,0.000174243,0,-1,0
cero,31,42.6172,0.000169111,0,-1,0
cero,31,56.3059,0.000195389,0,-1,0
cero,31,169.649,0.000424178,0,-1,0
cero,31,178.693,0.000148285,0,-1,0
cero,31,121.16,0.000140357,0,-1,0
cero,31,358.95,0.000209014,0,-1,0
cero,31,143.659,0.000170798,0,-1,0
cero,31,328.436,0.000125896,0,-1,0
cero,31,335.611,0.000214756,0,-1,0
cero,31,154.931,0.000363691,0,-1,0
cero,31,146.247,0.000223017,0,-1,0
cero,31,171.193,0.00023921,0,-1,0
cero,31,189.137,0.000175334,0,-1,0
cero,31,210.684,0.000130004,0,-1,0
cero,31,173.501,0.000188888,0,-1,0
cero,31,146.833,0.000227618,0,-1,0
cero,31,157.036,0.000261153,0,-1,0
cero,31,193.802,0.000156784,0,-1,0
cero,31,73.4951,0.000242897,0,-1,0
cero,31,197.749,0.000153957,0,-1,0
cero,31,177.16,0.000173551,0,-1,0
cero,31,264.092,0.000194545,0,-1,0
cero,31,280.325,0.000293757,0,-1,0
cero,31,351.591,0.000161324,0,-1,0
cero,31,156.249,0.00014948,0,-1,0
cero,31,338.924,0.000131382,0,-1,0
cero,31,66.2509,0.000140991,0,-1,0
cero,31,329.228,0.000299052,0,-1,0
cero,31,74.9731,0.000178568,0,-1,0
cero,31,13.4081,0.000126899,0,-1,0
cero,31,90.3243,0.000796798,0,-1,0
cero,31,0.0965026,0.000128889,0,-1,0
cero,31,341.304,0.000216729,0,-1,0
cero,31,176.084,0.00101233,0,-1,0
cero,31,84.4323,0.000143321,0,-1,0
cero,31,82.3227,0.000160877,0,-1,0
cero,31,14.4735,0.000123246,0,-1,0
cero,31,100.162,0.000309648,0,-1,0
cero,31,105.436,0.000197347,0,-1,0
cero,31,165.091,0.000408686,0,-1,0
cero,31,183.433,0.000200492,0,-1,0
cero,31,290.956,0.000137799,0,-1,0
cero,31,109.414,0.000146746,0,-1,0
cero,31,12.1359,0.000156817,0,-1,0
cero,31,304.719,0.000148687,0,-1,0
cero,31,116.438,0.000119309,0,-1,0
cero,31,53.4255,0.000116334,0,-1,0
cero,31,33.9183,9.0533e-05,0,-1,0
cero,31,306.654,9.30703e-05,0,-1,0
cero,31,72.9256,0.000109912,0,-1,0
cero,31,259.524,0.000113378,0,-1,0
cero,31,83.2534,0.000107672,0,-1,0
cero,31,121.211,9.21528e-05,0,-1,0
cero,31,122.679,9.67131e-05,0,-1,0
cero,31,345.525,8.79897e-05,0,-1,0
cero,31,181.802,9.04948e-05,0,-1,0
cero,31,162.144,0.000110075,0,-1,0
cero,31,131.949,9.44925e-05,0,-1,0
cero,31,336.48,8.65114e-05,0,-1,0
cero,31,57.9416,8.98848e-05,0,-1,0
cero,31,289.701,0.000105236,0,-1,0
cero,31,247.088,0.000117036,0,-1,0
cero,31,182.765,8.90078e-05,0,-1,0
cero,31,26.9753,8.7497e-05,0,-1,0
cero,31,331.433,0.000108675,0,-1,0
cero,31,34.5062,0.000106108,0,-1,0
cero,31,119.112,8.70097e-05,0,-1,0
cero,31,185.828,0.00010215,0,-1,0
cero,31,138.537,9.55767e-05,0,-1,0
cero,31,30.0797,9.32685e-05,0,-1,0
cero,31,336.889,0.000113917,0,-1,0
cero,31,24.9135,9.71904e-05,0,-1,0
cero,31,305.197,0.000119106,0,-1,0
cero,31,338.193,9.14574e-05,0,-1,0
cero,31,250.503,0.000110421,0,-1,0
cero,31,287.246,0.000113976,0,-1,0
cero,31,13.0961,0.000116113,0,-1,0
cero,31,8.53776,0.000102228,0,-1,0
cero,31,200.338,9.2224e-05,0,-1,0
cero,31,329.504,9.41622e-05,0,-1,0
cero,31,128.647,8.61505e-05,0,-1,0
cero,31,160.652,8.56822e-05,0,-1,0
cero,31,107.239,8.5646e-05,0,-1,0
cero,31,116.141,8.52415e-05,0,-1,0
cero,31,30.6855,8.42948e-05,0,-1,0
cero,31,266.557,8.42148e-05,0,-1,0
cero,31,196.189,8.39494e-05,0,-1,0
cero,31,109.179,8.38707e-05,0,-1,0
cero,31,29.0587,8.26267e-05,0,-1,0
cero,31,227.176,8.22615e-05,0,-1,0
cero,31,333.641,8.04292e-05,0,-1,0
cero,31,304.523,8.04067e-05,0,-1,0
cero,31,46.3193,8.02292e-05,0,-1,0
cero,31,39.3833,7.96695e-05,0,-1,0
cero,31,358.128,7.96554e-05,0,-1,0
cero,31,8.60361,7.91246e-05,0,-1,0
cero,31,202.271,7.87269e-05,0,-1,0
cero,31,174.373,7.87215e-05,0,-1,0
cero,31,176.549,7.80773e-05,0,-1,0
cero,31,43.3785,7.77652e-05,0,-1,0
cero,37.2,157.147,0.000353088,1,-1,0
cero,37.2,141.174,0.000209597,1,-1,0
cero,37.2,181.354,8.63859e-05,1,-1,0
cero,37.2,297.398,0.000147047,1,-1,0
cero,37.2,299.614,0.000103079,1,-1,0
cero,37.2,152.711,0.000413215,1,-1,0
cero,37.2,230.216,0.000117137,1,-1,0
cero,37.2,175.851,0.000159638,1,-1,0
cero,37.2,215.737,8.98793e-05,1,-1,0
cero,37.2,301.859,0.000120958,1,-1,0
cero,37.2,187.917,0.00024742,1,-1,0
cero,37.2,236.087,9.0718e-05,1,-1,0
cero,37.2,250.23,0.000200047,1,-1,0
cero,37.2,114.863,0.000146982,1,-1,0
cero,37.2,71.6501,0.000277981,1,-1,0
cero,37.2,15.0851,8.38131e-05,1,-1,0
cero,37.2,34.9093,9.71235e-05,1,-1,0
cero,37.2,94.2078,8.7589e-05,1,-1,0
cero,37.2,179.98,0.00076599,1,-1,0
cero,37.2,299.668,0.000244351,1,-1,0
cero,37.2,28.0776,8.82692e-05,1,-1,0
cero,37.2,274.962,0.000147707,1,-1,0
cero,37.2,174.442,0.000106774,1,-1,0
cero,37.2,33.0354,0.000138624,1,-1,0
cero,37.2,147.09,9.39034e-05,1,-1,0
cero,37.2,348.332,0.000164712,1,-1,0
cero,37.2,19.9183,8.77899e-05,1,-1,0
cero,37.2,28.1849,9.40254e-05,1,-1,0
cero,37.2,75.9314,0.000221013,1,-1,0
cero,37.2,80.421,0.000164625,1,-1,0
cero,37.2,131.852,0.000100383,1,-1,0
cero,37.2,298.158,0.000235641,1,-1,0
cero,37.2,154.112,0.000120358,1,-1,0
cero,37.2,341.529,0.000118661,1,-1,0
cero,37.2,139.089,0.000130654,1,-1,0
cero,37.2,142.209,0.000174738,1,-1,0
cero,37.2,175.656,0.000282669,1,-1,0
cero,37.2,280.224,0.000241838,1,-1,0
cero,37.2,340.353,0.000134256,1,-1,0
cero,37.2,340.822,0.000116558,1,-1,0
cero,37.2,39.5428,9.1013e-05,1,-1,0
cero,37.2,204.061,0.000143543,1,-1,0
cero,37.2,187.522,0.000156127,1,-1,0
cero,37.2,163.484,0.00020385,1,-1,0
cero,37.2,112.079,0.000144898,1,-1,0
cero,37.2,93.0191,0.000127669,1,-1,0
cero,37.2,168.461,9.3613e-05,1,-1,0
cero,37.2,86.1093,8.35151e-05,1,-1,0
cero,37.2,296.28,0.000261785,1,-1,0
cero,37.2,150.998,0.000214412,1,-1,0
cero,37.2,266.23,0.000202073,1,-1,0
cero,37.2,344.675,0.000227771,1,-1,0
cero,37.2,324.917,0.00020317,1,-1,0
cero,37.2,329.397,0.000125355,1,-1,0
cero,37.2,30.1162,0.000129248,1,-1,0
cero,37.2,154.066,0.00030381,1,-1,0
cero,37.2,181.139,0.000207777,1,-1,0
cero,37.2,327.616,0.000155094,1,-1,0
cero,37.2,320.037,0.000113467,1,-1,0
cero,37.2,274.802,8.66899e-05,1,-1,0
cero,37.2,61.2279,9.5402e-05,1,-1,0
cero,37.2,121.842,8.7338e-05,1,-1,0
cero,37.2,331.412,0.000122385,1,-1,0
cero,37.2,165.554,8.30312e-05,1,-1,0
cero,37.2,17.4426,8.21671e-05,1,-1,0
cero,37.2,73.5658,8.0395e-05,1,-1,0
cero,37.2,338.031,7.12015e-05,1,-1,0
cero,37.2,152.898,7.29433e-05,1,-1,0
cero,37.2,105.363,7.34752e-05,1,-1,0
cero,37.2,200.414,6.01514e-05,1,-1,0
cero,37.2,233.392,5.89813e-05,1,-1,0
cero,37.2,316.326,6.99066e-05,1,-1,0
cero,37.2,18.0492,6.42463e-05,1,-1,0
cero,37.2,244.886,6.14011e-05,1,-1,0
cero,37.2,107.236,6.16155e-05,1,-1,0
cero,37.2,76.9711,6.90802e-05,1,-1,0
cero,37.2,316.589,6.86419e-05,1,-1,0
cero,37.2,9.25687,7.06006e-05,1,-1,0
cero,37.2,308.3,7.02426e-05,1,-1,0
cero,37.2,312.235,5.98985e-05,1,-1,0
cero,37.2,168.902,6.59923e-05,1,-1,0
cero,37.2,196.175,7.03691e-05,1,-1,0
cero,37.2,165.453,5.81772e-05,1,-1,0
cero,37.2,183.747,6.12403e-05,1,-1,0
cero,37.2,67.52,5.8878e-05,1,-1,0
cero,37.2,166.278,6.78321e-05,1,-1,0
cero,37.2,145.062,6.41217e-05,1,-1,0
cero,37.2,334.725,6.53686e-05,1,-1,0
cero,37.2,182.882,5.76881e-05,1,-1,0
cero,37.2,33.2797,5.69886e-05,1,-1,0
cero,44.64,109.462,0.000160617,2,-1,0
cero,44.64,181.818,0.00014806,2,-1,0
cero,44.64,61.2124,0.000198536,2,-1,0
cero,44.64,172.17,0.000309896,2,-1,0
cero,44.64,315.51,0.00017754,2,-1,0
cero,44.64,304.383,0.000234792,2,-1,0
cero,44.64,341.709,0.000176335,2,-1,0
cero,44.64,343.699,0.000113012,2,-1,0
cero,44.64,301.084,0.000180775,2,-1,0
cero,44.64,315.776,0.00017973,2,-1,0
cero,44.64,347.657,0.000141675,2,-1,0
cero,44.64,273.452,0.000163822,2,-1,0
cero,44.64,186.228,0.000232,2,-1,0
cero,44.64,300.351,0.000140035,2,-1,0
cero,44.64,175.615,0.000182254,2,-1,0
cero,44.64,309.971,0.000202887,2,-1,0
cero,44.64,102.557,0.000117641,2,-1,0
cero,44.64,34.3499,0.000390443,2,-1,0
cero,44.64,168.016,0.000174471,2,-1,0
cero,44.64,85.8543,0.000136921,2,-1,0
cero,44.64,131.753,0.000197453,2,-1,0
cero,44.64,322.981,0.00034807,2,-1,0
cero,44.64,261.787,0.000172678,2,-1,0
cero,44.64,178.379,0.000112654,2,-1,0
cero,44.64,30.521,0.00010915,2,-1,0
cero,44.64,168.548,0.000108587,2,-1,0
cero,44.64,198.78,0.000101103,2,-1,0
cero,44.64,92.2356,0.000105087,2,-1,0
cero,44.64,320.626,8.68388e-05,2,-1,0
cero,44.64,172.458,9.71477e-05,2,-1,0
cero,44.64,169.197,0.000110363,2,-1,0
cero,44.64,171.405,9.5573e-05,2,-1,0
cero,44.64,110.716,9.17217e-05,2,-1,0
cero,44.64,23.9765,9.57509e-05,2,-1,0
cero,44.64,11.8934,9.66756e-05,2,-1,0
cero,44.64,54.3899,9.0092e-05,2,-1,0
cero,44.64,139.587,0.000102185,2,-1,0
cero,44.64,71.6597,8.62169e-05,2,-1,0
cero,44.64,275.61,6.16388e-05,2,-1,0
cero,44.64,43.7247,8.29683e-05,2,-1,0
cero,44.64,283.169,6.97068e-05,2,-1,0
cero,44.64,17.7912,6.537e-05,2,-1,0
cero,44.64,170.069,8.08969e-05,2,-1,0
cero,44.64,302.54,5.9878e-05,2,-1,0
cero,44.64,158.199,8.04313e-05,2,-1,0
cero,44.64,167.384,6.36754e-05,2,-1,0
cero,44.64,131.706,7.02862e-05,2,-1,0
cero,44.64,323.218,8.2417e-05,2,-1,0
cero,44.64,11.5227,6.03947e-05,2,-1,0
cero,44.64,222.547,7.81553e-05,2,-1,0
cero,44.64,189.981,6.57117e-05,2,-1,0
cero,44.64,218.769,6.19767e-05,2,-1,0
cero,44.64,71.1283,7.6712e-05,2,-1,0
cero,44.64,145.582,6.07449e-05,2,-1,0
cero,44.64,329.12,6.65869e-05,2,-1,0
cero,44.64,159.858,7.38823e-05,2,-1,0
cero,44.64,295.638,7.36228e-05,2,-1,0
cero,44.64,169.432,8.59001e-05,2,-1,0
cero,44.64,138.803,5.98246e-05,2,-1,0
