id,a0,a1,a2,a3,a4,a5
cero,4.8,54.688,0.00139453,0,0,0
cero,4.8,349.372,0.00131619,0,0,0
cero,4.8,299.032,0.00187129,0,0,0
cero,4.8,8.23295,0.00106621,0,0,0
cero,4.8,281.242,0.0020836,0,0,0
cero,4.8,289.156,0.00264589,0,0,0
cero,4.8,343.451,0.00153148,0,0,0
cero,4.8,294.396,0.00189975,0,0,0
cero,4.8,226.287,0.00199121,0,0,0
cero,4.8,343.1,0.00106222,0,0,0
cero,4.8,173.194,0.00105261,0,0,0
cero,4.8,96.4588,0.00151612,0,0,0
cero,4.8,190.95,0.00119555,0,0,0
cero,4.8,331.549,0.00256527,0,0,0
cero,4.8,342.129,0.00161777,0,0,0
cero,4.8,214.431,0.00376495,0,0,0
cero,4.8,301.729,0.00206015,0,0,0
cero,4.8,296.134,0.00244588,0,0,0
cero,4.8,69.2861,0.0035711,0,0,0
cero,4.8,156.73,0.00146997,0,0,0
cero,4.8,259.216,0.00176042,0,0,0
cero,4.8,234.923,0.00215848,0,0,0
cero,4.8,310.76,0.00135873,0,0,0
cero,4.8,335.505,0.00284699,0,0,0
cero,4.8,106.847,0.00129588,0,0,0
cero,4.8,88.9639,0.00330185,0,0,0
cero,4.8,205.617,0.00282187,0,0,0
cero,4.8,195.423,0.00224536,0,0,0
cero,4.8,288.5,0.00119383,0,0,0
cero,4.8,174.147,0.00187251,0,0,0
cero,4.8,302.217,0.00296927,0,0,0
cero,4.8,246.03,0.00145258,0,0,0
cero,4.8,158.805,0.00127892,0,0,0
cero,4.8,37.9697,0.00182994,0,0,0
cero,5.70819,343.153,0.00105422,0,1,0
cero,5.70819,89.5737,0.00118385,0,1,0
cero,5.70819,269.618,0.00134328,0,1,0
cero,5.70819,169.928,0.00109156,0,1,0
cero,5.70819,58.0851,0.00109728,0,1,0
cero,5.70819,240.531,0.00144071,0,1,0
cero,5.70819,233.036,0.00106331,0,1,0
cero,5.70819,163.577,0.00132025,0,1,0
cero,5.70819,339.888,0.00122857,0,1,0
cero,5.70819,186.523,0.00137846,0,1,0
cero,5.70819,152.919,0.00118048,0,1,0
cero,5.70819,107.07,0.00104457,0,1,0
cero,5.70819,169.018,0.00109665,0,1,0
cero,5.70819,126.473,0.00102867,0,1,0
cero,5.70819,85.9001,0.00277153,0,1,0
cero,5.70819,192.347,0.00106486,0,1,0
cero,5.70819,208.212,0.00159612,0,1,0
cero,5.70819,110.351,0.00118231,0,1,0
cero,5.70819,209.346,0.00103588,0,1,0
cero,5.70819,91.9866,0.00102811,0,1,0
cero,5.70819,11.6811,0.00103781,0,1,0
cero,5.70819,175.528,0.00133205,0,1,0
cero,5.70819,157.097,0.00122144,0,1,0
cero,5.70819,29.0708,0.0011229,0,1,0
cero,8.07261,246.311,0.00118397,0,3,0
cero,8.07261,88.5993,0.00124912,0,3,0
cero,8.07261,9.22491,0.00109734,0,3,0
cero,8.07261,237.087,0.00130022,0,3,0
cero,8.07261,297.046,0.00119119,0,3,0
cero,8.07261,271.293,0.00139009,0,3,0
cero,8.07261,167.533,0.00102832,0,3,0
