id,a0,a1,a2,a3,a4,a5
cero,14.2759,286.823,44.0782,0,-1,0
cero,12.9692,31.5002,30.7922,0,-1,0
cero,13.2,247.152,36.6,0,-1,0
cero,11.9268,212.29,30.0031,0,-1,0
cero,12.4054,63.0726,33.0845,0,-1,0
cero,12.75,204.471,32.1875,0,-1,0
cero,13.6158,197.165,74.3476,0,-1,0
cero,14.4128,130.629,31.9718,0,-1,0
cero,13.4444,221.373,71.5648,0,-1,0
cero,16.4199,35.5758,42.9811,0,-1,0
cero,12.9636,230.916,69.6454,0,-1,0
cero,14.2258,327.865,44.1331,0,-1,0
cero,13.8424,339.007,64.1639,0,-1,0
cero,12.3476,275.7,42.3196,0,-1,0
cero,11.55,190.373,44.1125,0,-1,0
cero,13.8293,9.23236,47.9055,0,-1,0
cero,11.8966,43.6733,32.0043,0,-1,0
cero,13.5405,134.506,52.2196,0,-1,0
cero,13.8105,155.051,84.1769,0,-1,0
cero,12.7297,171.682,38.2737,0,-1,0
cero,13.0608,338.172,67.207,0,-1,0
cero,12.6686,66.4345,33.2031,0,-1,0
cero,13.3659,102.985,82.0677,0,-1,0
cero,13.5362,71.0068,98.4641,0,-1,0
cero,11.3684,81.7174,44.2105,0,-1,0
cero,13.3226,34.0134,36.6494,0,-1,0
cero,12.761,71.9144,34.5256,0,-1,0
cero,13.212,274.337,32.0932,0,-1,0
cero,11.6162,246.318,30.1229,0,-1,0
cero,12.25,277.571,50.0417,0,-1,0
cero,13.7533,288.699,32.8408,0,-1,0
cero,12.5789,11.8887,66.2654,0,-1,0
cero,13.6154,97.0262,90.8269,0,-1,0
cero,12.2444,104.748,34.5915,0,-1,0
cero,13.0382,287.139,58.7785,0,-1,0
cero,13.3846,51.348,59.3846,0,-1,0
cero,13.5769,86.0096,68.6095,0,-1,0
cero,13.2857,326.301,30.6429,0,-1,0
cero,13.6047,106.036,57.5378,0,-1,0
cero,12.6924,44.5878,91.8176,0,-1,0
cero,13.9437,138.508,40.1127,0,-1,0
cero,13.4743,40.8468,84.5056,0,-1,0
cero,9,116.307,35,0,-1,0
cero,13.0249,29.9152,61.6959,0,-1,0
cero,12.4839,296.578,31.1008,0,-1,0
cero,13.2857,353.913,35.6429,0,-1,0
cero,12.9462,351.973,30.3592,0,-1,0
cero,14.5032,356.851,44.0363,0,-1,0
cero,13.5763,351.231,69.036,0,-1,0
cero,13.4516,252.533,72.8145,0,-1,0
cero,14.2639,180.991,32.8811,0,-1,0
cero,14.5385,215.261,34.3269,0,-1,0
cero,13.1348,8.25981,40.4287,0,-1,0
cero,13.3636,11.2856,39.8523,0,-1,0
cero,11.9938,1.47886,59,0,-1,0
cero,13.3448,124.419,31.7285,0,-1,0
cero,11.9826,191.125,81.0003,0,-1,0
cero,12.1722,125.96,41.4362,0,-1,0
cero,13.8972,347.969,109.594,0,-1,0
cero,12.8182,272.192,54.4091,0,-1,0
cero,15.0178,122.939,61.28,0,-1,0
cero,12.987,78.0274,31.6085,0,-1,0
cero,12.375,202.407,44.0625,0,-1,0
cero,14,229.949,31.3333,0,-1,0
cero,13.4642,156.956,93.248,0,-1,0
cero,13.5615,321.696,31.4111,0,-1,0
cero,12.0857,350.994,45.0036,0,-1,0
cero,14.6425,311.247,84.7096,0,-1,0
cero,15.6179,316.978,96.7989,0,-1,0
cero,13.7655,229.604,35.8591,0,-1,0
cero,13.5602,111.841,65.7401,0,-1,0
cero,12.2432,236.835,34.0304,0,-1,0
cero,13.2558,341.921,90.8837,0,-1,0
cero,14.04,128.67,31.445,0,-1,0
cero,13.4595,328.062,78.1892,0,-1,0
cero,11.8855,302.633,46.008,0,-1,0
cero,13.84,110.272,34.399,0,-1,0
cero,13.5,336.891,32.75,0,-1,0
cero,16.8092,38.221,37.4169,0,-1,0
cero,12.9767,26.4242,84.1396,0,-1,0
cero,13.8214,20.4263,67.867,0,-1,0
