id,a0,a1,a2,a3,a4,
cero,12.8182,82.3816,31.3068,0,-1,0
cero,13.5517,294.863,34.9698,0,-1,0
cero,14.2,293.781,38.0167,0,-1,0
cero,13.8312,76.5198,38.9316,0,-1,0
cero,15,102.076,33.5,0,-1,0
cero,14.1,87.8837,31.225,0,-1,0
cero,12.2195,103.281,33.0274,0,-1,0
cero,14.3462,78.7691,35.017,0,-1,0
cero,13.1379,276.665,31.5215,0,-1,0
cero,12.913,35.1571,31.2663,0,-1,0
cero,13.8943,9.87872,33.6737,0,-1,0
cero,13,126.956,30.4167,0,-1,0
cero,14.547,58.4382,31.8517,0,-1,0
cero,12.1429,102.651,32.0119,0,-1,0
cero,14.027,140.364,42.1115,0,-1,0
cero,14.6953,80.3294,39.87,0,-1,0
cero,17.6407,93.9921,43.2582,0,-1,0
cero,13.6635,93.2377,32.2088,0,-1,0
cero,12.6,143.808,30.175,0,-1,0
cero,14.3077,190.448,36.9231,0,-1,0
cero,13.5,286.26,31,0,-1,0
cero,13.2222,73.7158,33.5602,0,-1,0
cero,14.3514,69.3232,40.8412,0,-1,0
cero,13.5499,253.178,31.9853,0,-1,0
cero,14.6364,258.805,46.1856,0,-1,0
cero,11.8636,155.962,31.0114,0,-1,0
cero,14.2174,186.66,35.5707,0,-1,0
cero,12.5122,172.957,32.1494,0,-1,0
cero,12.841,214.959,31.2609,0,-1,0
cero,12.4054,301.247,36.0845,0,-1,0
cero,13.6875,162.042,32.2656,0,-1,0
cero,13.4368,297.694,35.2658,0,-1,0
cero,11.9455,292.129,40.0023,0,-1,0
cero,13.5333,163.667,44.4695,0,-1,0
cero,13.9554,276.411,33.0146,0,-1,0
cero,13.8387,262.656,32.4556,0,-1,0
cero,14.0349,139.233,37.0821,0,-1,0
cero,13.1653,129.096,31.5433,0,-1,0
cero,14.5385,37.477,36.3269,0,-1,0
cero,14.5208,35.6115,34.6015,0,-1,0
cero,13,85.8721,32.5417,0,-1,0
cero,15,216.24,44.75,0,-1,0
cero,11.3636,75.1416,30.1856,0,-1,0
cero,12.9057,56.7036,34.1329,0,-1,0
cero,13.5789,15.4085,38.3158,0,-1,0
cero,13.8333,83.9116,35.6806,0,-1,0
cero,12,45.9656,34,0,-1,0
cero,12.3158,183.885,30.0526,0,-1,0
cero,15,45.3052,43.625,0,-1,0
cero,12.0667,45.2194,40.0028,0,-1,0
cero,12.4737,78.5007,31.1184,0,-1,0
cero,16.8437,196.69,39.4807,0,-1,0
cero,12.2857,320.241,36.0476,0,-1,0
cero,12.8654,228.451,30.963,0,-1,0
cero,12.8,134.613,31.2667,0,-1,0
cero,12.9545,124.777,43.5568,0,-1,0
cero,12.2,227.519,30.0167,0,-1,0
cero,12.6931,42.8093,45.7041,0,-1,0
cero,12.4184,39.5307,52.0278,0,-1,0
cero,13.7586,209.65,32.2457,0,-1,0
cero,12.5085,235.221,32.1413,0,-1,0
cero,13.5455,104.609,36.0947,0,-1,0
cero,13.0541,241.234,47.5709,0,-1,0
cero,14.1724,196.56,39.9009,0,-1,0
cero,12,84.7491,31,0,-1,0
cero,14.6226,111.412,44.9334,0,-1,0
cero,14.0437,124.413,33.7013,0,-1,0
cero,12.9754,335.715,31.4787,0,-1,0
cero,12.816,254.782,42.3926,0,-1,0
cero,13.2857,258.65,38.8036,0,-1,0
cero,12.6459,205.43,33.0951,0,-1,0
cero,14.0147,229.823,32.9271,0,-1,0
cero,11.8849,44.9795,30.0076,0,-1,0
cero,13.2353,314.118,30.3603,0,-1,0
cero,12.3522,285.976,34.0929,0,-1,0
cero,12.6655,227.717,33.4715,0,-1,0
cero,12.8,293.573,30.2667,0,-1,0
cero,12.9368,71.2061,35.5887,0,-1,0
cero,15,350.129,32.625,0,-1,0
cero,14.73,72.7349,39.0801,0,-1,0
cero,12.6279,162.815,34.2355,0,-1,0
cero,13.1538,159.516,40.7211,0,-1,0
cero,13.4105,261.044,41.1995,0,-1,0
cero,12.551,53.4161,47.2066,0,-1,0
cero,13.8293,239.278,43.9055,0,-1,0
cero,14.5556,260.216,34.4491,0,-1,0
cero,15.2058,235.704,38.5882,0,-1,0
cero,13.2353,104.482,34.7206,0,-1,0
cero,14.25,235.218,32.6875,0,-1,0
cero,12.7006,357.885,32.3615,0,-1,0
cero,10.9565,108.49,35.6957,0,-1,0
cero,12.7059,138.039,41.2353,0,-1,0
