id,a0,a1,a2,a3,a4,
cero,31,271.406,0.000243823,0,-1,0
cero,31,147.261,4.10E-05,0,-1,0
cero,31,121.435,5.53E-05,0,-1,0
cero,31,160.425,9.97E-05,0,-1,0
cero,31,343.879,0.000173585,0,-1,0
cero,31,111.349,7.50E-05,0,-1,0
cero,31,243.883,7.69E-05,0,-1,0
cero,31,258.146,5.09E-05,0,-1,0
cero,31,99.8335,0.000121446,0,-1,0
cero,31,284.546,4.81E-05,0,-1,0
cero,31,88.2117,8.50E-05,0,-1,0
cero,31,291.65,5.03E-05,0,-1,0
cero,31,4.39891,5.43E-05,0,-1,0
cero,31,300.566,0.000153308,0,-1,0
cero,31,352.64,4.53E-05,0,-1,0
cero,31,169.19,5.16E-05,0,-1,0
cero,31,300.194,0.000171312,0,-1,0
cero,31,242.109,8.55E-05,0,-1,0
cero,31,146.545,8.72E-05,0,-1,0
cero,31,309.004,0.000290464,0,-1,0
cero,31,178.76,4.75E-05,0,-1,0
cero,31,303.142,0.000109801,0,-1,0
cero,31,182.522,5.27E-05,0,-1,0
cero,31,279.11,8.81E-05,0,-1,0
cero,31,24.0251,7.72E-05,0,-1,0
cero,31,124.589,6.20E-05,0,-1,0
cero,31,28.9425,5.76E-05,0,-1,0
cero,31,228.031,5.84E-05,0,-1,0
cero,31,169.976,4.49E-05,0,-1,0
cero,31,45.7478,5.11E-05,0,-1,0
cero,31,146.882,0.000112157,0,-1,0
cero,31,94.5446,7.38E-05,0,-1,0
cero,31,220.69,5.96E-05,0,-1,0
cero,31,142.748,4.07E-05,0,-1,0
cero,31,206.912,0.00014975,0,-1,0
cero,31,70.2642,0.000120742,0,-1,0
cero,31,117.537,0.000397125,0,-1,0
cero,31,100.975,0.000413798,0,-1,0
cero,31,268.893,4.93E-05,0,-1,0
cero,31,27.5354,6.69E-05,0,-1,0
cero,31,80.6602,6.48E-05,0,-1,0
cero,31,39.2818,8.48E-05,0,-1,0
cero,31,27.7,3.95E-05,0,-1,0
cero,31,352.621,4.32E-05,0,-1,0
cero,31,292.779,5.09E-05,0,-1,0
cero,31,344.201,3.94E-05,0,-1,0
cero,31,24.4512,4.15E-05,0,-1,0
cero,31,91.5716,5.46E-05,0,-1,0
cero,31,263.608,8.49E-05,0,-1,0
cero,31,108.447,0.000147752,0,-1,0
cero,31,296.68,6.55E-05,0,-1,0
cero,31,168.836,3.95E-05,0,-1,0
cero,31,53.8898,5.84E-05,0,-1,0
cero,31,184.364,4.74E-05,0,-1,0
cero,31,359.851,0.00023277,0,-1,0
cero,31,106.908,0.000118214,0,-1,0
cero,31,77.2077,8.73E-05,0,-1,0
cero,31,77.9631,7.72E-05,0,-1,0
cero,31,262.867,3.96E-05,0,-1,0
cero,31,75.9498,0.000199639,0,-1,0
cero,31,256.017,0.000104824,0,-1,0
cero,31,82.2917,0.000148876,0,-1,0
cero,31,278.656,3.92E-05,0,-1,0
cero,31,250.424,3.70E-05,0,-1,0
cero,31,190.116,3.43E-05,0,-1,0
cero,31,118.721,3.57E-05,0,-1,0
cero,31,337.441,3.91E-05,0,-1,0
cero,31,180.895,3.87E-05,0,-1,0
cero,31,124.215,3.30E-05,0,-1,0
cero,31,25.7291,3.85E-05,0,-1,0
cero,31,277.29,3.61E-05,0,-1,0
cero,31,82.4964,3.41E-05,0,-1,0
cero,31,172.714,3.34E-05,0,-1,0
cero,31,181.461,3.24E-05,0,-1,0
cero,31,266.986,3.60E-05,0,-1,0
cero,31,155.971,3.74E-05,0,-1,0
cero,31,345.959,3.63E-05,0,-1,0
cero,31,180.08,3.51E-05,0,-1,0
cero,31,40.6669,3.68E-05,0,-1,0
cero,31,294.856,3.50E-05,0,-1,0
cero,31,83.7562,3.33E-05,0,-1,0
cero,31,88.3631,3.68E-05,0,-1,0
cero,31,207.203,3.42E-05,0,-1,0
cero,31,33.5023,3.25E-05,0,-1,0
cero,31,344.275,3.42E-05,0,-1,0
cero,31,17.5186,3.59E-05,0,-1,0
cero,31,335.641,3.90E-05,0,-1,0
cero,31,306.572,3.54E-05,0,-1,0
cero,31,352.505,3.45E-05,0,-1,0
cero,31,265.811,3.49E-05,0,-1,0
cero,31,305.693,3.20E-05,0,-1,0
cero,31,77.4318,3.18E-05,0,-1,0
cero,31,170.581,3.16E-05,0,-1,0
cero,31,78.6898,3.11E-05,0,-1,0
cero,31,31.0744,3.05E-05,0,-1,0
cero,31,32.011,3.05E-05,0,-1,0
cero,31,30.1166,3.02E-05,0,-1,0
cero,31,282.735,3.01E-05,0,-1,0
cero,31,260.482,3.01E-05,0,-1,0
cero,31,222.854,2.99E-05,0,-1,0
cero,31,148.161,2.98E-05,0,-1,0
cero,31,220.96,2.97E-05,0,-1,0
cero,31,199.05,2.96E-05,0,-1,0
cero,31,324.273,2.94E-05,0,-1,0
cero,31,259.205,2.92E-05,0,-1,0
cero,31,215.732,2.92E-05,0,-1,0
cero,31,20.8185,2.81E-05,0,-1,0
cero,31,288.141,2.76E-05,0,-1,0
cero,31,315.062,2.75E-05,0,-1,0
cero,37.2,246.403,9.56E-05,1,-1,0
cero,37.2,4.48073,6.48E-05,1,-1,0
cero,37.2,41.7728,0.000101618,1,-1,0
cero,37.2,204.835,5.50E-05,1,-1,0
cero,37.2,356.895,0.00014066,1,-1,0
cero,37.2,243.813,8.75E-05,1,-1,0
cero,37.2,14.513,0.000126265,1,-1,0
cero,37.2,144.528,0.000123028,1,-1,0
cero,37.2,291.801,9.53E-05,1,-1,0
cero,37.2,147.494,0.000109647,1,-1,0
cero,37.2,325.846,0.000229906,1,-1,0
cero,37.2,57.6449,0.000100626,1,-1,0
cero,37.2,292.767,0.000118748,1,-1,0
cero,37.2,295,0.000122386,1,-1,0
cero,37.2,19.445,8.38E-05,1,-1,0
cero,37.2,82.0125,5.60E-05,1,-1,0
cero,37.2,114.062,0.000208162,1,-1,0
cero,37.2,99.53,6.87E-05,1,-1,0
cero,37.2,12.7594,7.65E-05,1,-1,0
cero,37.2,62.9496,5.97E-05,1,-1,0
cero,37.2,294.36,6.18E-05,1,-1,0
cero,37.2,27.9569,7.34E-05,1,-1,0
cero,37.2,284.322,6.37E-05,1,-1,0
cero,37.2,28.5469,6.89E-05,1,-1,0
cero,37.2,353.271,0.000201785,1,-1,0
cero,37.2,114.276,5.57E-05,1,-1,0
cero,37.2,27.8764,7.26E-05,1,-1,0
cero,37.2,67.389,0.00019214,1,-1,0
cero,37.2,259.505,8.67E-05,1,-1,0
cero,37.2,217.078,5.94E-05,1,-1,0
cero,37.2,130.508,5.44E-05,1,-1,0
cero,37.2,14.4417,5.18E-05,1,-1,0
cero,37.2,269.635,3.60E-05,1,-1,0
cero,37.2,114.18,3.99E-05,1,-1,0
cero,37.2,64.8862,5.21E-05,1,-1,0
cero,37.2,189.228,5.12E-05,1,-1,0
cero,37.2,185.421,3.30E-05,1,-1,0
cero,37.2,89.9031,4.33E-05,1,-1,0
cero,37.2,344.737,3.64E-05,1,-1,0
cero,37.2,191.581,4.59E-05,1,-1,0
cero,37.2,316.353,3.32E-05,1,-1,0
cero,37.2,126.594,5.25E-05,1,-1,0
cero,37.2,271.224,3.90E-05,1,-1,0
cero,37.2,220.638,4.57E-05,1,-1,0
cero,37.2,44.2402,3.81E-05,1,-1,0
cero,37.2,339.913,4.39E-05,1,-1,0
cero,37.2,341.961,4.07E-05,1,-1,0
cero,37.2,70.3514,3.58E-05,1,-1,0
cero,37.2,278.399,3.88E-05,1,-1,0
cero,37.2,126.04,4.83E-05,1,-1,0
