id,a0,a1,a2,a3,a4,
cero,13.9765,54.998,33.8641,0,-1,0
cero,13.1633,62.9997,46.9209,0,-1,0
cero,14.2127,61.4819,34.3218,0,-1,0
cero,14.6434,294.09,36.7859,0,-1,0
cero,13.5455,72.3184,36.0947,0,-1,0
cero,12.375,135.158,34.0625,0,-1,0
cero,13.2188,226.257,31.5868,0,-1,0
cero,17.1965,209.441,34.6673,0,-1,0
cero,15.7529,9.17377,35.9976,0,-1,0
cero,15.1596,183.058,39.7818,0,-1,0
cero,13.8462,79.5853,31.2308,0,-1,0
cero,13.4516,142.353,31.9073,0,-1,0
cero,13.6957,23.4953,32.9185,0,-1,0
cero,13.9306,227.914,34.5057,0,-1,0
cero,11.3478,351.794,30.1359,0,-1,0
cero,14.1724,244.8,31.9009,0,-1,0
cero,13.8333,229.889,39.6806,0,-1,0
cero,12.871,241.151,30.3266,0,-1,0
cero,13.7368,225.922,40.5921,0,-1,0
cero,14.4,45.3809,44.4,0,-1,0
cero,14.6971,71.7653,32.4474,0,-1,0
cero,13.5816,243.197,39.2292,0,-1,0
cero,12.6496,227.224,35.6902,0,-1,0
cero,12.6522,318.501,37.2717,0,-1,0
cero,12.9231,269.192,35.3077,0,-1,0
cero,12.4,280.335,31.0667,0,-1,0
cero,14.1111,231.726,32.6713,0,-1,0
cero,13.9221,236.328,38.2912,0,-1,0
cero,13.6957,195.645,30.9185,0,-1,0
cero,12.7614,346.934,34.0145,0,-1,0
cero,12.2571,225.262,30.0321,0,-1,0
cero,13.3636,237.118,33.8523,0,-1,0
cero,16.4226,48.5868,35.0507,0,-1,0
cero,13.0541,8.92143,37.5709,0,-1,0
cero,14,66.8745,32.3333,0,-1,0
cero,15.0922,250.413,32.8774,0,-1,0
cero,13.3902,95.1718,40.1006,0,-1,0
cero,12.6279,132.484,31.2355,0,-1,0
cero,13.1538,99.642,30.4808,0,-1,0
cero,12.5122,175.986,33.1494,0,-1,0
cero,14.8462,45.8391,53.3878,0,-1,0
cero,15.0643,37.1807,33.7097,0,-1,0
cero,13.5,224.602,34.75,0,-1,0
cero,13.777,208.865,39.2669,0,-1,0
cero,13.3636,14.1027,31.8523,0,-1,0
cero,13.3636,38.0923,35.8523,0,-1,0
cero,14.625,242.545,44.0625,0,-1,0
cero,13.8889,136.499,35.338,0,-1,0
cero,14.0771,258.949,41.4091,0,-1,0
cero,16.1429,260.807,39.006,0,-1,0
cero,13.8387,250.98,33.4556,0,-1,0
cero,12.9429,209.466,30.4321,0,-1,0
cero,15.6033,230.819,40.7517,0,-1,0
cero,12.7358,157.093,40.3986,0,-1,0
cero,14.7692,246.381,33.7692,0,-1,0
cero,13.9655,253.522,34.556,0,-1,0
cero,12,74.1572,31,0,-1,0
cero,16.2857,317.552,34.5714,0,-1,0
cero,12.8824,347.22,34.3676,0,-1,0
cero,12.5676,64.3086,36.1655,0,-1,0
cero,13.2162,322.98,36.7601,0,-1,0
cero,13.7368,229.169,40.5921,0,-1,0
cero,13.4444,315.509,31.7824,0,-1,0
cero,13.0851,326.032,40.7686,0,-1,0
cero,12.6585,226.229,34.2469,0,-1,0
cero,13.8071,296.305,37.4152,0,-1,0
cero,13.35,299.201,36.0125,0,-1,0
cero,12.8028,55.4837,31.3531,0,-1,0
cero,13.2222,80.3434,31.5602,0,-1,0
cero,14.087,216.585,51.7826,0,-1,0
cero,12.8319,233.555,41.3769,0,-1,0
cero,14.2174,8.87759,32.5707,0,-1,0
cero,11.4,24.6573,33.225,0,-1,0
cero,12.2,26.1104,35.025,0,-1,0
cero,13.8676,209.947,34.0957,0,-1,0
cero,12.0612,85.6781,36.0025,0,-1,0
cero,13.7102,229.834,33.1734,0,-1,0
cero,13.4444,15.1275,61.5648,0,-1,0
cero,12.8705,283.059,31.8531,0,-1,0
cero,12.6,354.746,41.2,0,-1,0
cero,12.4734,229.933,32.1472,0,-1,0
cero,12.4,214.649,32.0667,0,-1,0
cero,11.85,238.307,38.0125,0,-1,0
cero,12.7241,116.617,30.2112,0,-1,0
cero,12.1304,308.444,33.0109,0,-1,0
cero,12.9936,219.119,35.6642,0,-1,0
cero,14.8125,315.27,44.5156,0,-1,0
cero,14.3727,320.529,38.5455,0,-1,0
cero,13.6667,319.567,35.3889,0,-1,0
cero,14.5,316.141,32.0833,0,-1,0
cero,13.4124,26.5577,31.7912,0,-1,0
cero,14.3571,207.953,39.1607,0,-1,0
cero,14.2523,303.553,36.716,0,-1,0
cero,12.2143,319.329,39.0357,0,-1,0
cero,12.8182,269.445,30.2045,0,-1,0
cero,13.7843,31.4739,39.4701,0,-1,0
cero,14.2416,240.238,35.4638,0,-1,0
cero,14.6753,296.073,33.6153,0,-1,0
cero,12.7143,27.352,35.2976,0,-1,0
cero,14.494,311.519,42.134,0,-1,0
cero,13.1429,97.5504,42.7619,0,-1,0
cero,12.6158,307.39,39.6926,0,-1,0
cero,12.5295,6.88343,43.1966,0,-1,0
cero,13.4571,147.684,36.0322,0,-1,0
cero,13.2439,185.83,40.8811,0,-1,0
cero,13.6983,258.262,43.3501,0,-1,0
cero,13.7899,48.8074,37.6648,0,-1,0
cero,14.4508,259.377,35.9258,0,-1,0
cero,14.8,257.77,42.2667,0,-1,0
cero,15.6902,264.994,46.7494,0,-1,0
cero,12.7297,61.758,30.2737,0,-1,0
cero,11.7059,159.521,32.0613,0,-1,0
cero,13.0942,121.47,37.6824,0,-1,0
cero,12.839,168.783,36.2275,0,-1,0
cero,15.908,254.668,39.098,0,-1,0
cero,15.9985,176.617,35.9978,0,-1,0
cero,14.1416,296.718,35.9242,0,-1,0
cero,11.9143,183.937,31.0036,0,-1,0
cero,13.7185,249.745,32.5561,0,-1,0
cero,14.9063,82.3453,38.5027,0,-1,0
cero,15.0265,17.3415,39.5416,0,-1,0
cero,13.6451,276.51,36.2623,0,-1,0
cero,11.4906,269.023,37.191,0,-1,0
cero,13.3048,295.463,32.9937,0,-1,0
cero,14.4667,7.08932,55.8028,0,-1,0
cero,14.9601,300.906,39.7721,0,-1,0
cero,12.6735,233.983,40.3087,0,-1,0
cero,12.2571,290.608,32.0321,0,-1,0
cero,12.8462,281.913,34.3878,0,-1,0
cero,14.3333,226.84,36.0417,0,-1,0
